"Survival_Time","Censoring_Status","Habitat"
49,0,"Savanna"
107,0,"Grassland"
126,0,"Mountain"
110,0,"Wetland"
25,0,"Grassland"
167,0,"Grassland"
176,0,"Savanna"
322,0,"Forest"
20,0,"Forest"
44,1,"Wetland"
17,0,"Mountain"
5,0,"Savanna"
111,0,"Wetland"
236,0,"Forest"
141,0,"Wetland"
116,0,"Wetland"
20,1,"Grassland"
140,0,"Savanna"
233,0,"Wetland"
70,0,"Grassland"
151,0,"Mountain"
117,0,"Savanna"
151,1,"Wetland"
14,1,"Mountain"
9,0,"Savanna"
170,0,"Savanna"
4,0,"Mountain"
183,0,"Forest"
34,0,"Savanna"
31,0,"Mountain"
168,1,"Mountain"
171,0,"Wetland"
97,0,"Savanna"
54,0,"Grassland"
129,0,"Savanna"
26,0,"Grassland"
134,1,"Mountain"
115,1,"Savanna"
24,1,"Mountain"
33,0,"Savanna"
85,0,"Savanna"
132,1,"Mountain"
89,0,"Savanna"
49,0,"Forest"
183,0,"Grassland"
210,0,"Savanna"
233,0,"Savanna"
57,1,"Grassland"
43,1,"Grassland"
216,1,"Savanna"
167,0,"Savanna"
121,0,"Forest"
78,0,"Mountain"
483,0,"Wetland"
36,0,"Forest"
67,0,"Forest"
4,0,"Forest"
124,1,"Mountain"
15,0,"Savanna"
150,1,"Savanna"
72,1,"Mountain"
95,0,"Mountain"
43,0,"Wetland"
190,1,"Mountain"
152,1,"Grassland"
15,0,"Forest"
335,1,"Savanna"
102,0,"Wetland"
120,0,"Mountain"
247,0,"Grassland"
37,0,"Forest"
58,1,"Wetland"
130,0,"Mountain"
13,0,"Grassland"
224,1,"Grassland"
107,0,"Forest"
1,0,"Wetland"
46,0,"Wetland"
31,0,"Savanna"
63,1,"Wetland"
71,0,"Grassland"
102,0,"Savanna"
91,1,"Savanna"
22,0,"Mountain"
12,0,"Mountain"
48,0,"Grassland"
45,0,"Savanna"
7,0,"Mountain"
4,1,"Forest"
193,0,"Wetland"
46,0,"Savanna"
79,0,"Savanna"
81,0,"Mountain"
159,0,"Forest"
41,0,"Grassland"
13,0,"Wetland"
253,1,"Mountain"
12,1,"Wetland"
23,0,"Savanna"
10,0,"Mountain"
127,0,"Forest"
136,0,"Grassland"
47,0,"Savanna"
160,0,"Grassland"
12,0,"Forest"
266,0,"Savanna"
25,0,"Grassland"
72,0,"Savanna"
102,0,"Grassland"
40,0,"Forest"
86,0,"Savanna"
25,1,"Mountain"
24,0,"Savanna"
30,0,"Savanna"
150,0,"Forest"
4,0,"Wetland"
17,0,"Forest"
236,0,"Grassland"
46,0,"Mountain"
23,0,"Forest"
34,0,"Savanna"
88,0,"Forest"
114,0,"Wetland"
26,0,"Savanna"
14,1,"Wetland"
71,0,"Mountain"
92,0,"Grassland"
37,0,"Mountain"
33,0,"Mountain"
77,0,"Mountain"
29,1,"Wetland"
14,0,"Wetland"
24,1,"Savanna"
67,0,"Grassland"
62,1,"Forest"
159,0,"Mountain"
241,0,"Forest"
56,0,"Savanna"
30,0,"Savanna"
33,0,"Forest"
35,0,"Savanna"
54,0,"Mountain"
117,0,"Savanna"
2,0,"Forest"
147,0,"Grassland"
104,0,"Grassland"
98,0,"Mountain"
410,0,"Forest"
22,0,"Grassland"
9,0,"Forest"
153,0,"Grassland"
36,0,"Savanna"
10,0,"Savanna"
73,0,"Mountain"
21,0,"Wetland"
197,1,"Mountain"
200,0,"Savanna"
109,0,"Wetland"
145,0,"Mountain"
27,0,"Forest"
57,0,"Savanna"
278,1,"Forest"
152,1,"Grassland"
11,0,"Savanna"
41,0,"Wetland"
99,1,"Wetland"
101,1,"Savanna"
55,0,"Forest"
88,0,"Mountain"
42,1,"Wetland"
82,0,"Savanna"
16,1,"Mountain"
2,0,"Savanna"
19,0,"Wetland"
6,0,"Wetland"
137,0,"Mountain"
165,0,"Grassland"
81,0,"Grassland"
38,0,"Grassland"
216,0,"Wetland"
13,1,"Wetland"
214,0,"Grassland"
4,1,"Savanna"
167,1,"Grassland"
16,0,"Mountain"
42,0,"Wetland"
81,0,"Forest"
368,0,"Mountain"
33,0,"Mountain"
233,0,"Forest"
405,0,"Mountain"
15,0,"Wetland"
22,0,"Forest"
497,0,"Forest"
49,0,"Grassland"
327,0,"Savanna"
73,1,"Forest"
53,0,"Forest"
187,0,"Forest"
84,1,"Savanna"
64,1,"Forest"
9,1,"Savanna"
334,0,"Wetland"
322,0,"Mountain"
145,0,"Savanna"
348,0,"Savanna"
3,0,"Mountain"
224,0,"Mountain"
55,0,"Wetland"
15,0,"Wetland"
194,0,"Grassland"
100,1,"Wetland"
96,0,"Forest"
61,0,"Mountain"
54,0,"Grassland"
106,0,"Wetland"
22,0,"Mountain"
103,0,"Grassland"
26,0,"Forest"
139,0,"Forest"
39,0,"Grassland"
429,0,"Mountain"
166,0,"Wetland"
164,0,"Wetland"
45,0,"Wetland"
158,0,"Mountain"
18,1,"Wetland"
32,0,"Mountain"
2,0,"Grassland"
11,1,"Wetland"
199,0,"Savanna"
11,0,"Savanna"
83,0,"Mountain"
97,1,"Savanna"
321,0,"Savanna"
51,1,"Forest"
13,0,"Wetland"
441,0,"Mountain"
90,0,"Savanna"
4,0,"Wetland"
42,0,"Savanna"
2,0,"Forest"
131,0,"Grassland"
132,0,"Savanna"
141,0,"Savanna"
8,0,"Mountain"
216,0,"Savanna"
202,0,"Wetland"
54,1,"Savanna"
138,0,"Savanna"
9,0,"Mountain"
50,0,"Forest"
20,0,"Savanna"
